NUMBER,SEX,COND,ORDER,EXP,HABIT,HABTRIAL,HABTOT,HM12,  HM11,HM10,HM9,HM8,HM7,HM6,HM5,HM4,HM3,HM2,HM1,N1C,N2C,F1C,F2C,NAVG,  FAVG,NPREF,LOGN1C,LOGN2C,LOGF1C,LOGF2C,LOGNAVG,LOGFAVG
VM5_003,M,ABA,FF,1,YES,8,236158,0,0,0,0,22095,30107,71253,67360,9141,17696,11675,6831,6499,20199,2704,4211,13349,3457.5,0.794275999,3.812846422,4.3053298,3.432006598,3.624385357,4.125448704,3.538762093
VM5_004,M,ABA,FF,1,YES,6,228192,0,0,0,0,0,0,91076,61274,13168,8166,29460,25048,25271,16631,12487,6783,20951,9635,0.684986591,4.402622223,4.220918179,4.096457958,3.831421852,4.321204662,3.983851671
VM5_005,F,ABA,FF,1,YES,8,143738,0,0,0,0,38731,17240,16905,42890,8354,8293,8469,2856,7265,3828,7714,3861,5546.5,5787.5,0.48936826,3.861235619,3.582971811,3.887279749,3.586699724,3.744019032,3.762490988
VM5_007,F,ABA,FF,1,YES,6,152870,0,0,0,0,0,0,18470,90939,17335,8571,7340,10215,8376,8383,8242,4289,8379.5,6265.5,0.572174788,3.923036575,3.923399448,3.916032553,3.632355928,3.923218012,3.796955824
VM5_009,M,ABA,FF,1,YES,5,71649,0,0,0,0,0,0,0,48035,4895,4756,9086,4877,17299,9035,4467,15299,13167,9883,0.571236432,4.238020897,3.955928087,3.650016069,4.184662819,4.119486809,3.994888783
VM5_010,M,ABA,FF,1,NO,12,155013,38080,4316,16742,8439,7338,17041,5996,3638,16091,11043,21289,5000,7754,14124,5804,6511,10939,6157.5,0.639838576,3.88952589,4.149957657,3.763727427,3.813647747,4.038977623,3.789404392
VM5_013,F,ABA,FF,1,YES,5,85571,0,0,0,0,0,0,0,49155,17373,11128,3821,4094,4662,23163,8991,9602,13912.5,9296.5,0.599444211,3.668572187,4.364794731,3.953808069,3.982361794,4.143404961,3.968319416
VM5_016,F,ABA,FF,1,NO,12,95280,17168,7414,5136,5080,4357,12928,7732,4506,4613,4465,4599,17282,3150,2179,5150,4365,2664.5,4757.5,0.359000266,3.498310566,3.338257313,3.711807251,3.639984131,3.425615788,3.677378893
VM5_001,F,ABA,NF,1,YES,6,215013,0,0,0,0,0,0,91305,30476,52213,28736,4147,8136,25484,15220,12045,4011,20352,8028,0.71712476,4.406267643,4.182414532,4.080806732,3.603252649,4.308607101,3.904607296
VM5_002,M,ABA,NF,1,YES,7,112131,0,0,0,0,0,21907,30348,30484,4270,8551,8248,8323,25323,4471,7856,4143,14897,5999.5,0.712894499,4.403515339,3.650404692,3.895201445,3.617314816,4.173099041,3.778115034
